Price,adj close,close,high,low,open,volume
Ticker,es=f,es=f,es=f,es=f,es=f,es=f
Datetime,,,,,,
2025-11-21 09:37:00-05:00,6588.75,6588.75,6593.75,6587.0,6590.25,5432
2025-11-21 09:38:00-05:00,6579.5,6579.5,6593.0,6579.5,6588.75,5463
2025-11-21 09:39:00-05:00,6577.5,6577.5,6583.75,6576.75,6579.5,5614
2025-11-21 09:40:00-05:00,6584.0,6584.0,6584.75,6571.5,6577.5,9129
2025-11-21 09:41:00-05:00,6587.5,6587.5,6588.0,6582.5,6584.25,6513
2025-11-21 09:42:00-05:00,6580.0,6580.0,6591.5,6576.5,6587.75,8013
2025-11-21 09:43:00-05:00,6576.0,6576.0,6580.5,6574.5,6580.25,5722
2025-11-21 09:44:00-05:00,6574.25,6574.25,6579.25,6573.0,6576.0,3250
2025-11-21 09:45:00-05:00,6569.25,6569.25,6578.25,6568.5,6574.25,6750
2025-11-21 09:46:00-05:00,6565.75,6565.75,6570.75,6562.5,6569.5,10752
2025-11-21 09:47:00-05:00,6568.25,6568.25,6573.5,6564.25,6565.75,8255
2025-11-21 09:48:00-05:00,6584.25,6584.25,6584.5,6568.0,6568.25,10596
2025-11-21 09:49:00-05:00,6577.75,6577.75,6585.5,6573.25,6584.25,6770
2025-11-21 09:50:00-05:00,6578.75,6578.75,6582.25,6574.0,6577.75,5828
2025-11-21 09:51:00-05:00,6578.25,6578.25,6581.75,6573.5,6579.5,5380
2025-11-21 09:52:00-05:00,6586.25,6586.25,6587.25,6575.0,6578.5,5775
2025-11-21 09:53:00-05:00,6587.25,6587.25,6588.0,6580.75,6586.25,5195
2025-11-21 09:54:00-05:00,6592.5,6592.5,6596.0,6586.25,6587.0,8640
2025-11-21 09:55:00-05:00,6590.25,6590.25,6593.25,6588.75,6592.5,5826
2025-11-21 09:56:00-05:00,6576.25,6576.25,6590.5,6573.75,6590.5,6666
2025-11-21 09:57:00-05:00,6580.0,6580.0,6582.25,6575.75,6576.0,4937
2025-11-21 09:58:00-05:00,6581.75,6581.75,6582.25,6577.75,6579.75,2920
2025-11-21 09:59:00-05:00,6576.25,6576.25,6582.75,6575.5,6581.75,3032
2025-11-21 10:00:00-05:00,6577.5,6577.5,6588.25,6576.5,6576.5,6340
2025-11-21 10:01:00-05:00,6571.75,6571.75,6578.5,6570.5,6577.25,7520
2025-11-21 10:02:00-05:00,6565.75,6565.75,6573.0,6565.25,6572.0,7859
2025-11-21 10:03:00-05:00,6570.0,6570.0,6570.5,6563.0,6566.0,9033
2025-11-21 10:04:00-05:00,6570.25,6570.25,6571.5,6565.25,6570.0,6329
2025-11-21 10:05:00-05:00,6579.25,6579.25,6581.25,6570.25,6570.25,6518
2025-11-21 10:06:00-05:00,6584.0,6584.0,6587.0,6576.5,6579.5,8195
2025-11-21 10:07:00-05:00,6576.25,6576.25,6585.25,6575.5,6584.25,6243
2025-11-21 10:08:00-05:00,6572.5,6572.5,6576.75,6566.5,6576.0,6374
2025-11-21 10:09:00-05:00,6574.5,6574.5,6578.25,6569.25,6572.75,7046
2025-11-21 10:10:00-05:00,6570.0,6570.0,6574.5,6563.5,6574.5,6897
2025-11-21 10:11:00-05:00,6570.0,6570.0,6571.75,6566.0,6570.0,5909
2025-11-21 10:12:00-05:00,6568.5,6568.5,6572.5,6565.25,6570.0,5649
2025-11-21 10:13:00-05:00,6567.0,6567.0,6570.0,6563.5,6568.25,8999
2025-11-21 10:14:00-05:00,6568.25,6568.25,6571.75,6563.75,6567.0,6229
2025-11-21 10:15:00-05:00,6568.5,6568.5,6576.0,6566.5,6568.25,7465
2025-11-21 10:16:00-05:00,6567.5,6567.5,6571.75,6565.25,6568.25,6668
2025-11-21 10:17:00-05:00,6560.5,6560.5,6567.5,6557.5,6567.5,8929
2025-11-21 10:18:00-05:00,6571.0,6571.0,6571.25,6560.75,6560.75,9577
2025-11-21 10:19:00-05:00,6574.0,6574.0,6575.75,6569.25,6570.75,6506
2025-11-21 10:20:00-05:00,6564.5,6564.5,6575.75,6559.0,6574.0,8438
2025-11-21 10:21:00-05:00,6557.75,6557.75,6564.25,6556.5,6564.25,7048
2025-11-21 10:22:00-05:00,6570.5,6570.5,6572.5,6554.5,6557.75,11971
2025-11-21 10:23:00-05:00,6573.0,6573.0,6576.0,6566.5,6570.75,8186
2025-11-21 10:24:00-05:00,6582.25,6582.25,6582.75,6566.5,6573.25,8147
2025-11-21 10:25:00-05:00,6583.25,6583.25,6590.5,6581.0,6582.25,9242
2025-11-21 10:26:00-05:00,6575.5,6575.5,6583.25,6569.0,6583.0,7786
2025-11-21 10:27:00-05:00,6568.25,6568.25,6578.5,6566.5,6575.0,6563
2025-11-21 10:28:00-05:00,6561.25,6561.25,6569.5,6560.5,6568.0,6376
2025-11-21 10:29:00-05:00,6562.0,6562.0,6563.0,6558.5,6561.0,6386
2025-11-21 10:30:00-05:00,6566.0,6566.0,6568.25,6557.25,6562.0,7618
2025-11-21 10:31:00-05:00,6567.75,6567.75,6567.75,6560.5,6565.5,5539
2025-11-21 10:32:00-05:00,6568.0,6568.0,6571.75,6564.25,6568.0,6400
2025-11-21 10:33:00-05:00,6559.5,6559.5,6570.5,6559.25,6568.0,4885
2025-11-21 10:34:00-05:00,6558.5,6558.5,6565.5,6554.75,6559.75,7493
2025-11-21 10:35:00-05:00,6548.25,6548.25,6558.5,6547.5,6558.25,11015
2025-11-21 10:36:00-05:00,6544.75,6544.75,6551.0,6543.0,6548.0,10165
2025-11-21 10:37:00-05:00,6545.5,6545.5,6548.5,6539.0,6544.5,9982
2025-11-21 10:38:00-05:00,6547.5,6547.5,6550.5,6543.5,6545.25,8726
2025-11-21 10:39:00-05:00,6545.25,6545.25,6548.0,6543.0,6547.75,6727
2025-11-21 10:40:00-05:00,6544.25,6544.25,6549.25,6540.5,6545.25,12805
2025-11-21 10:41:00-05:00,6548.0,6548.0,6555.0,6544.25,6544.25,9004
2025-11-21 10:42:00-05:00,6553.5,6553.5,6554.5,6546.0,6548.0,8486
2025-11-21 10:43:00-05:00,6554.75,6554.75,6556.75,6550.75,6553.25,6793
2025-11-21 10:44:00-05:00,6559.5,6559.5,6564.25,6554.5,6554.75,9655
2025-11-21 10:45:00-05:00,6563.75,6563.75,6565.0,6554.75,6559.5,6105
2025-11-21 10:46:00-05:00,6567.25,6567.25,6568.75,6559.75,6563.75,5617
2025-11-21 10:47:00-05:00,6569.75,6569.75,6572.0,6564.75,6567.75,6692
